Nome,Conta,ID,URL,Categoria
Gazeta Brasil,gazeta_brasil,1090291692744466433,gazetabrasil.com.br,Imprensa Posicionada
A Politica de Fato,apoliticadefato,1026939371130441729,apoliticadefato.com,Site Hiperpartidario
Balaio do Kotscho,balaiodokotscho,87811137,www.balaiodokotscho.com.br,Blog ou Site de Opiniao
Notibras,Notibras,450121413,www.notibras.com,Blog de Noticias
Blog Ricardo Antunes,blogricaantunes,1169605869274877952,www.ricardoantunes.com.br,Blog de Noticias
Bolsonaro Zap,BolsonaroZap,1192928129708429312,zapbolsonaro.com,Site Hiperpartidario
Protagonews,Protagonews_,1102053444297334789,protagonews.com,Blog de Noticias
Gabriel Hammer,fghammer2011,276194396,gabrielhammer.blogspot.com,Blog de Noticias
Bem Blogado,BemBlogado,2773885472,bemblogado.com.br,Site Hiperpartidario
BR 2 Pontos,BR2pontos,3597687917,br2pontos.com.br,Imprensa Digital
Patria Latina,PatriaLatina,44822208,www.patrialatina.com.br,Site Hiperpartidario
BOL,bol,15569598,www.bol.uol.com.br,Imprensa Digital
Notibras,Notibras,450121413,www.notibras.com,Blog de Noticias
Geo Noticias,geo_noticias,1095123629770268673,www.geonoticias.com.br,Blog de Noticias
Agencia M Brasil,agenciambrasil,1017085886096445440,agenciambrasil.com.br,Site Hiperpartidario
Voz Operaria RJ,VozOperariaRJ,847477225217695744,vozoperariarj.com,Blog ou Site de Opiniao
Reinaldo Azevedo,reinaldoazevedo,18286139,reinaldoazevedo.blogosfera.uol.com.br,Imprensa Tradicional Brasileira
Le Monde,lemondefr,24744541,www.lemonde.fr,Imprensa Tradicional Estrangeira
